,genome,contig,contig length,no. of annotations on contig
0,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_1_length_286070_cov_126.523973,286070,255
1,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_2_length_227477_cov_125.485516,227477,216
2,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_3_length_208369_cov_126.246877,208369,196
3,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_4_length_207195_cov_128.259689,207195,179
4,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_5_length_169864_cov_128.249775,169864,143
5,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_6_length_168016_cov_127.614369,168016,159
6,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_7_length_167017_cov_126.865317,167017,151
7,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_8_length_160916_cov_125.886492,160916,133
8,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_9_length_148145_cov_126.857526,148145,144
9,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_10_length_137324_cov_126.071458,137324,119
10,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_11_length_117955_cov_125.850763,117955,127
11,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_12_length_110183_cov_130.340586,110183,88
12,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_13_length_100974_cov_125.525481,100974,97
13,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_14_length_100448_cov_125.587491,100448,89
14,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_15_length_96986_cov_126.703862,96986,80
15,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_16_length_96519_cov_126.056912,96519,84
16,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_17_length_94084_cov_125.459071,94084,84
17,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_18_length_90709_cov_127.321960,90709,88
18,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_19_length_80534_cov_126.192833,80534,62
19,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_20_length_77001_cov_126.115627,77001,70
20,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_21_length_63440_cov_125.733454,63440,63
21,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_22_length_61826_cov_127.479885,61826,69
22,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_23_length_52761_cov_125.242914,52761,43
23,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_24_length_43768_cov_127.010500,43768,37
24,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_25_length_42660_cov_126.947189,42660,35
25,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_26_length_41344_cov_125.353024,41344,42
26,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_27_length_32273_cov_125.419269,32273,31
27,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_28_length_27747_cov_125.691174,27747,29
28,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_29_length_26378_cov_125.392091,26378,28
29,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_30_length_25975_cov_126.533603,25975,25
30,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_31_length_23383_cov_125.912723,23383,24
31,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_32_length_22746_cov_128.120665,22746,20
32,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_33_length_22552_cov_125.964262,22552,20
33,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_34_length_19814_cov_126.213776,19814,25
34,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_35_length_19596_cov_127.496188,19596,16
35,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_36_length_12591_cov_125.901085,12591,20
36,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_37_length_10991_cov_139.426390,10991,17
37,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_38_length_9225_cov_127.457034,9225,9
38,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_39_length_7317_cov_125.729138,7317,6
39,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_40_length_6262_cov_126.082165,6262,9
40,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_41_length_6239_cov_135.493047,6239,7
41,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_42_length_3276_cov_125.765601,3276,1
42,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_43_length_2995_cov_830.168707,2995,2
43,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_44_length_1750_cov_246.486136,1750,2
44,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_45_length_1750_cov_121.790560,1750,0
45,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_46_length_1333_cov_876.125978,1333,1
46,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_47_length_1255_cov_627.955833,1255,2
47,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_48_length_1190_cov_246.707489,1190,1
48,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_49_length_1095_cov_378.886538,1095,0
49,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_50_length_991_cov_247.690171,991,1
50,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_51_length_954_cov_123.408231,954,0
51,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_52_length_883_cov_135.986715,883,1
52,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_53_length_799_cov_516.025538,799,2
53,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_54_length_706_cov_888.956989,706,1
54,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_55_length_599_cov_132.755515,599,0
55,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_56_length_531_cov_249.966387,531,0
56,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_57_length_438_cov_504.242820,438,1
57,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_58_length_413_cov_385.745810,413,0
58,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_59_length_388_cov_257.003003,388,0
59,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_60_length_383_cov_124.045732,383,0
60,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_61_length_376_cov_131.725857,376,0
61,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_62_length_374_cov_1010.667712,374,0
62,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_63_length_360_cov_887.278689,360,1
63,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_64_length_356_cov_534.043189,356,0
64,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_65_length_354_cov_132.832776,354,1
65,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_66_length_352_cov_378.969697,352,2
66,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_67_length_308_cov_189.656126,308,0
67,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_68_length_291_cov_243.906780,291,0
68,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_69_length_287_cov_282.922414,287,0
69,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_70_length_245_cov_132.142105,245,0
70,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_71_length_245_cov_128.710526,245,0
71,pan_sim_gr_1e-11_lr_1e-12_mu_1e-14_iso_20,NODE_72_length_232_cov_239.649718,232,0
