,genome,contig,contig length,no. of annotations on contig
0,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_1_length_321924_cov_97.549133,321924,311
1,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_2_length_303573_cov_98.116075,303573,279
2,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_3_length_284754_cov_98.815377,284754,265
3,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_4_length_256491_cov_97.784527,256491,253
4,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_5_length_222990_cov_100.348326,222990,202
5,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_6_length_204600_cov_97.924823,204600,188
6,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_7_length_199867_cov_97.499850,199867,173
7,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_8_length_175476_cov_99.091426,175476,164
8,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_9_length_171674_cov_98.006310,171674,181
9,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_10_length_169657_cov_97.791282,169657,159
10,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_11_length_128918_cov_97.512552,128918,119
11,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_12_length_126977_cov_97.499976,126977,120
12,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_13_length_123882_cov_97.443853,123882,107
13,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_14_length_122233_cov_98.455950,122233,110
14,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_15_length_114660_cov_97.842939,114660,100
15,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_16_length_109510_cov_97.124873,109510,98
16,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_17_length_92300_cov_96.835720,92300,88
17,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_18_length_91565_cov_97.786395,91565,74
18,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_19_length_84581_cov_97.608641,84581,83
19,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_20_length_84429_cov_97.342878,84429,91
20,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_21_length_77249_cov_97.246146,77249,74
21,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_22_length_67183_cov_97.017683,67183,55
22,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_23_length_60768_cov_97.551282,60768,49
23,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_24_length_60733_cov_98.197600,60733,53
24,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_25_length_56853_cov_97.838480,56853,50
25,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_26_length_55312_cov_97.417449,55312,52
26,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_27_length_53739_cov_97.212726,53739,57
27,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_28_length_43809_cov_97.584609,43809,37
28,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_29_length_40325_cov_97.417755,40325,58
29,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_30_length_40160_cov_98.277646,40160,41
30,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_31_length_38898_cov_97.566563,38898,39
31,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_32_length_35183_cov_97.688482,35183,37
32,pan_sim_gr_1e-12_lr_1e-12_mu_1e-14_iso_62,NODE_33_length_34929_cov_96.864225,34929,31
